,date,open,close,high,low,volume,code
100,2016-06-01,252.346,250.815,252.441,250.064,21876.0,sh600519
101,2016-06-02,250.074,254.571,255.465,250.074,24760.0,sh600519
102,2016-06-03,253.867,269.927,272.636,253.297,64798.0,sh600519
103,2016-06-06,268.13,262.472,269.08,261.474,37261.0,sh600519
104,2016-06-07,262.9,264.184,264.792,261.483,18753.0,sh600519
105,2016-06-08,262.805,260.789,264.193,260.048,23882.0,sh600519
106,2016-06-13,259.905,253.924,263.052,253.154,37775.0,sh600519
107,2016-06-14,254.542,259.335,260.333,254.542,25587.0,sh600519
108,2016-06-15,257.395,262.891,264.136,256.919,27322.0,sh600519
109,2016-06-16,261.341,260.542,264.136,260.314,19643.0,sh600519
110,2016-06-17,260.143,264.574,268.595,260.143,24705.0,sh600519
111,2016-06-20,266.009,262.529,266.095,260.523,19019.0,sh600519
112,2016-06-21,263.414,260.342,264.269,259.572,16749.0,sh600519
113,2016-06-22,260.304,264.745,265.619,259.354,20884.0,sh600519
114,2016-06-23,266.199,262.843,266.199,261.36,13984.0,sh600519
115,2016-06-24,261.74,260.304,263.376,254.058,20129.0,sh600519
116,2016-06-27,261.474,273.53,277.923,261.474,63642.0,sh600519
117,2016-06-28,272.903,274.034,275.413,272.237,24282.0,sh600519
118,2016-06-29,273.407,274.006,275.213,270.221,28147.0,sh600519
119,2016-06-30,275.755,277.562,283.533,275.755,38022.0,sh600519
120,2016-07-01,278.96,277.959,283.506,275.852,26014.0,sh600519
121,2016-07-04,278.766,285.468,286.925,277.794,29488.0,sh600519
122,2016-07-05,286.565,291.956,294.404,286.565,41707.0,sh600519
123,2016-07-06,291.198,308.089,308.876,290.431,47347.0,sh600519
124,2016-07-07,306.739,307.817,317.424,303.126,50725.0,sh600519
125,2016-07-08,304.534,301.018,306.448,297.376,45545.0,sh600519
126,2016-07-11,300.164,306.098,314.704,300.164,57481.0,sh600519
127,2016-07-12,306.7,315.413,317.229,305.962,53119.0,sh600519
128,2016-07-13,313.762,308.089,315.413,306.011,53448.0,sh600519
129,2016-07-14,307.021,307.992,311.596,306.157,29230.0,sh600519
130,2016-07-15,308.021,308.41,308.905,306.021,26811.0,sh600519
131,2016-07-18,308.391,307.138,310.333,306.603,23352.0,sh600519
132,2016-07-19,306.448,299.27,307.225,296.783,41431.0,sh600519
133,2016-07-20,299.765,299.707,301.951,298.677,17733.0,sh600519
134,2016-07-21,301.251,305.36,308.488,300.134,33009.0,sh600519
135,2016-07-22,303.923,299.085,306.157,298.561,28871.0,sh600519
136,2016-07-25,298.775,302.33,305.175,298.192,23623.0,sh600519
137,2016-07-26,300.144,309.886,310.333,299.649,35555.0,sh600519
138,2016-07-27,310.673,305.001,311.402,299.454,39228.0,sh600519
139,2016-07-28,303.048,306.982,310.139,302.563,39643.0,sh600519
140,2016-07-29,306.04,304.165,309.731,304.02,29007.0,sh600519
141,2016-08-01,304.02,298.153,304.942,296.249,31701.0,sh600519
142,2016-08-02,298.435,297.424,301.591,294.161,26541.0,sh600519
143,2016-08-03,298.192,298.017,299.066,295.424,24039.0,sh600519
144,2016-08-04,298.046,297.512,299.484,295.492,21793.0,sh600519
145,2016-08-05,297.696,297.152,299.522,296.278,20308.0,sh600519
146,2016-08-08,297.366,299.26,299.454,294.365,22007.0,sh600519
147,2016-08-09,299.328,306.691,308.556,297.628,39289.0,sh600519
148,2016-08-10,306.011,304.806,307.419,304.34,20944.0,sh600519
149,2016-08-11,305.36,307.681,312.344,305.001,31939.0,sh600519
150,2016-08-12,308.293,307.876,308.293,305.001,23352.0,sh600519
151,2016-08-15,306.739,309.634,312.46,305.137,34110.0,sh600519
152,2016-08-16,312.761,300.639,313.228,299.163,88378.0,sh600519
153,2016-08-17,300.717,299.319,302.048,297.706,43754.0,sh600519
154,2016-08-18,299.115,297.638,300.766,296.375,31005.0,sh600519
155,2016-08-19,297.026,297.687,298.629,296.055,19140.0,sh600519
156,2016-08-22,297.347,298.503,300.698,297.22,20812.0,sh600519
157,2016-08-23,298.512,298.075,300.173,297.026,19914.0,sh600519
158,2016-08-24,298.211,296.521,298.668,295.113,22779.0,sh600519
159,2016-08-25,296.443,294.316,296.618,291.461,25362.0,sh600519
160,2016-08-26,294.443,292.801,295.812,291.781,21436.0,sh600519
161,2016-08-29,299.163,298.707,299.94,296.443,38055.0,sh600519
162,2016-08-30,298.192,297.084,299.649,295.929,21170.0,sh600519
163,2016-08-31,297.9,301.29,301.844,296.774,40401.0,sh600519
164,2016-09-01,300.814,299.853,303.048,299.406,17185.0,sh600519
165,2016-09-02,299.163,297.007,300.571,296.133,18572.0,sh600519
166,2016-09-05,297.415,299.649,300.134,297.036,19138.0,sh600519
167,2016-09-06,299.649,301.047,301.455,299.503,20625.0,sh600519
168,2016-09-07,300.795,297.803,300.795,296.735,29645.0,sh600519
169,2016-09-08,296.453,297.046,297.706,295.676,16705.0,sh600519
170,2016-09-09,297.852,295.89,298.056,295.278,16222.0,sh600519
171,2016-09-12,293.335,289.508,295.278,289.227,38238.0,sh600519
172,2016-09-13,291.344,291.81,292.335,290.713,16255.0,sh600519
173,2016-09-14,291.49,290.975,293.53,289.46,18527.0,sh600519
174,2016-09-19,291.441,291.519,292.918,291.276,12852.0,sh600519
175,2016-09-20,292.15,286.497,292.17,285.565,34892.0,sh600519
176,2016-09-21,286.594,285.613,286.915,280.815,39037.0,sh600519
177,2016-09-22,285.856,288.459,291.373,285.574,29606.0,sh600519
178,2016-09-23,288.498,289.139,290.373,286.925,12671.0,sh600519
179,2016-09-26,288.479,280.446,288.488,280.271,37176.0,sh600519
180,2016-09-27,280.592,282.816,283.603,280.475,17915.0,sh600519
181,2016-09-28,283.418,280.135,283.418,279.31,22360.0,sh600519
182,2016-09-29,279.591,282.631,284.593,279.591,23705.0,sh600519
183,2016-09-30,281.68,289.363,291.033,281.68,29603.0,sh600519
184,2016-10-10,289.945,294.268,295.142,289.945,21103.0,sh600519
185,2016-10-11,295.278,300.057,300.134,294.307,41736.0,sh600519
186,2016-10-12,299.649,297.046,299.649,296.152,19286.0,sh600519
187,2016-10-13,297.998,295.171,298.134,294.802,16143.0,sh600519
188,2016-10-14,294.763,296.832,297.22,294.501,12690.0,sh600519
189,2016-10-17,296.686,293.772,296.735,292.85,18957.0,sh600519
190,2016-10-18,293.821,298.347,299.649,293.335,30389.0,sh600519
191,2016-10-19,299.649,297.658,299.892,296.346,14123.0,sh600519
192,2016-10-20,298.571,296.715,298.571,296.055,14079.0,sh600519
193,2016-10-21,296.327,295.462,296.715,293.908,11483.0,sh600519
194,2016-10-24,293.918,298.124,298.192,293.918,26246.0,sh600519
195,2016-10-25,298.571,303.961,304.02,298.571,43762.0,sh600519
196,2016-10-26,304.02,304.68,309.177,302.708,46813.0,sh600519
197,2016-10-27,304.01,307.779,309.09,302.087,32951.0,sh600519
198,2016-10-28,308.391,307.953,309.294,304.991,20137.0,sh600519
